BarCode,MarginLB,MarginLW,MarginRB,MarginRW,PosLZ,PosRZ
CC1021PA05,95,206,90,202,68000,63200
CC1031PS4K,95,206,90,202,68000,63200
CC5021XXYPA05,95,206,90,202,68000,63200
CC5021XYZPA05,95,206,90,202,68000,63200
CC1021PS05,95,206,90,202,68000,63200
CC5021XXYPS05,95,206,90,202,68000,63200
CC5021XYZPS05,95,206,90,202,68000,63200
CC1031PD05,95,206,90,202,68000,63200
CC1021PA06,95,206,90,202,68000,63200
CC5021XXYPA06,95,206,90,202,68000,63200
CC5021XYZPA06,95,206,90,202,68000,63200
CC1021PS06,95,206,90,202,68000,63200
CC5021XXYPS06,95,206,90,202,68000,63200
CC5021XYZPS06,95,206,90,202,68000,63200
CC1031PA05,95,206,90,202,68000,63200
CC1031PA48,95,206,90,202,68000,63200
CC1031PA4E,95,206,90,202,68000,63200
CC5031XXYPA25,95,206,90,202,68000,63200
CC5031XYZPA25,95,206,90,202,68000,63200
CC1031PS25,95,206,90,202,68000,63200
CC5031XXYPS25,95,206,90,202,68000,63200
CC1031PD25,95,206,90,202,68000,63200
CC1021PA07,95,206,90,202,68000,63200
CC5021XXYPA07,95,206,90,202,68000,63200
CC5021XYZPA07,95,206,90,202,68000,63200
CC1021PS07,95,206,90,202,68000,63200
CC5021XXYPS07,95,206,90,202,68000,63200
CC5021XYZPS07,95,206,90,202,68000,63200
CC1021PD07,95,206,90,202,68000,63200
CC1031PA28,95,206,90,202,68000,63200
CC5031XXYPA28,95,206,90,202,68000,63200
CC5031XYZPA28,95,206,90,202,68000,63200
CC1031PS28,95,206,90,202,68000,63200
CC5031XXYPS28,95,206,90,202,68000,63200
CC5031XYZPS28,95,206,90,202,68000,63200
CC5031XXYPS45,95,206,90,202,68000,63200
CC1031PA44,95,206,90,202,68000,63200
CC1031PS44,95,206,90,202,68000,63200
CC5031XXYPS44,95,206,90,202,68000,63200
CC5031XYZPS44,95,206,90,202,68000,63200
CC1031PD44,95,206,90,202,68000,63200
CC1031PA45,95,206,90,202,68000,63200
CC1031PA4D,95,206,90,202,68000,63200
CC5031XXYPA4D,95,206,90,202,68000,63200
CC5031XYZPA4D,95,206,90,202,68000,63200
CC1031PS45,95,206,90,202,68000,63200
CC1031PS4D,95,206,90,202,68000,63200
CC1031PS49,95,206,90,202,68000,63200
CC1031PS4F,95,206,90,202,68000,63200
CC5031XYZPS45,95,206,90,202,68000,63200
CC5031XXYPS4D,95,206,90,202,68000,63200
CC5031XYZPS4D,95,206,90,202,68000,63200
CC1031PA64,95,206,90,202,68000,63200
CC1031PS64,95,206,90,202,68000,63200
CC1031PS68,95,206,90,202,68000,63200
CC1031PS6E,95,206,90,202,68000,63200
CC5031XXYPS64,95,206,90,202,68000,63200
CC1031PD64,95,206,90,202,68000,63200
CC1031PS48,95,206,90,202,68000,63200
CC1031PS4E,95,206,90,202,68000,63200
CC1031PA49,95,206,90,202,68000,63200
CC1031PA4F,95,206,90,202,68000,63200
CC1031PA4J,95,206,90,202,68000,63200
CC1031PA68,95,206,90,202,68000,63200
CC1031PA6E,95,206,90,202,68000,63200
CC1031PS4A,95,206,90,202,68000,63200
CC1021PS4J,95,206,90,202,68000,63200
CC1031PS6A,95,206,90,202,68000,63200
CC1031PS6J,95,206,90,202,68000,63200
CC1031PD4A,95,206,90,202,68000,63200
CC1031PD6A,95,206,90,202,68000,63200
CC1031PA4K,95,206,90,202,68000,63200
CC1031PA6J,95,206,90,202,68000,63200
CC1021DAD02,95,206,90,202,68000,63200
CC5021XXYDAD02,95,206,90,202,68000,63200
CC1021DSD02,95,206,90,202,68000,63200
CC5021XXYDSD02,95,206,90,202,68000,63200
CC1021DAD41,95,206,90,202,68000,63200
CC1021DAD43,95,206,90,202,68000,63200
CC1021DSD41,95,206,90,202,68000,63200
CC1021DSD43,95,206,90,202,68000,63200
CC5021XXYDAD41,95,206,90,202,68000,63200
CC5021XYZDAD41,95,206,90,202,68000,63200
CC5021XXYDSD41,95,206,90,202,68000,63200
CC5021XYZDSD41,95,206,90,202,68000,63200
